scheme	programme	attribute_1	attribute_2	attribute_3	spatial_restriction	notes	tag_1	tag_2	tag_3
1	1	1	6	NA	NA	NA	1	NA	NA
2	1	1	10	NA	NA	NA	1	NA	NA
3	1	1	25	NA	NA	NA	2	NA	NA
4	1	1	33	NA	NA	NA	2	NA	NA
5	1	1	34	NA	NA	NA	2	NA	NA
6	1	3	8	NA	For terrestrial types: restrict to zones with shallow groundwater (in reach of vegetation). Don't exclude locations with types that are '(almost) everywhere groundwater dependent' (GD2).	NA	1	NA	NA
7	1	3	11	NA	For terrestrial types: restrict to zones with shallow groundwater (in reach of vegetation). Don't exclude locations with types that are '(almost) everywhere groundwater dependent' (GD2).	NA	2	NA	NA
8	1	3	13	1	Exclude terrestrial (i.e. mire) forms of type 7220, if applicable. Exclude locations where the surface water is not connected with (nor affected by) the phreatic aquifer.	NA	1	NA	NA
64	1	3	13	6	Restrict to 8310 marl quarries that are directly connected with (intersected by) a groundwater aquifer.	NA	1	NA	NA
9	1	3	13	2	Restrict to zones with shallow groundwater (in reach of vegetation). Exclude aquatic (i.e. rivulet) forms of type 7220. Don't exclude locations with types that are '(almost) everywhere groundwater dependent' (GD2).	NA	1	NA	NA
10	1	3	14	NA	For terrestrial types: restrict to zones with shallow groundwater (in reach of vegetation). Don't exclude locations with types that are '(almost) everywhere groundwater dependent' (GD2).	NA	2	NA	NA
11	1	3	21	NA	For terrestrial types: restrict to zones with shallow groundwater (in reach of vegetation). Don't exclude locations with types that are '(almost) everywhere groundwater dependent' (GD2).	NA	2	NA	NA
12	1	3	27	NA	For terrestrial types: restrict to zones with shallow groundwater (in reach of vegetation). Don't exclude locations with types that are '(almost) everywhere groundwater dependent' (GD2).	NA	2	NA	NA
13	1	5	9	NA	Restrict to areas susceptible to flooding. Exclude aquatic (i.e. rivulet) forms of type 7220, if applicable.	NA	1	NA	NA
14	1	5	15	NA	Restrict to areas susceptible to flooding. Exclude aquatic (i.e. rivulet) forms of type 7220, if applicable.	NA	2	NA	NA
15	1	5	16	NA	Restrict to areas susceptible to flooding.	NA	2	NA	NA
16	1	5	17	NA	Exclude aquatic (i.e. rivulet) forms of type 7220, if applicable.	NA	2	NA	NA
17	1	5	18	NA	Exclude aquatic (i.e. rivulet) forms of type 7220, if applicable.	NA	2	NA	NA
18	1	5	19	NA	Exclude aquatic (i.e. rivulet) forms of type 7220, if applicable.	NA	2	NA	NA
19	1	5	20	NA	Exclude aquatic (i.e. rivulet) forms of type 7220, if applicable.	NA	2	NA	NA
20	1	5	22	NA	Restrict to areas susceptible to flooding.	NA	2	NA	NA
21	1	5	28	NA	Restrict to areas susceptible to flooding. Exclude aquatic (i.e. rivulet) forms of type 7220, if applicable.	NA	2	NA	NA
22	1	5	35	NA	NA	NA	2	NA	NA
23	1	2	2	NA	NA	NA	2	NA	NA
24	1	2	3	NA	NA	NA	2	NA	NA
25	1	2	7	NA	NA	NA	1	NA	NA
26	1	2	26	NA	NA	NA	2	NA	NA
27	1	4	2	NA	Exclude terrestrial (i.e. mire) forms of type 7220, if applicable.	NA	2	NA	NA
28	1	4	7	NA	Exclude terrestrial (i.e. mire) forms of type 7220, if applicable.	NA	2	NA	NA
62	1	4	9	4	NA	NA	1	NA	NA
63	1	4	9	5	Exclude terrestrial (i.e. mire) forms of type 7220, if applicable.	NA	1	NA	NA
30	1	4	18	NA	Exclude terrestrial (i.e. mire) forms of type 7220, if applicable.	NA	2	NA	NA
31	1	4	20	NA	Exclude terrestrial (i.e. mire) forms of type 7220, if applicable.	NA	2	NA	NA
32	1	4	22	NA	NA	NA	2	NA	NA
33	1	4	26	NA	Exclude terrestrial (i.e. mire) forms of type 7220, if applicable.	NA	2	NA	NA
34	1	4	28	NA	Exclude terrestrial (i.e. mire) forms of type 7220, if applicable.	NA	2	NA	NA
35	2	6	NA	NA	NA	NA	4	NA	NA
29	2	32	NA	NA	NA	NA	4	NA	NA
36	2	7	NA	NA	NA	NA	4	NA	NA
37	2	8	NA	NA	NA	NA	4	NA	NA
38	2	9	NA	NA	NA	NA	4	NA	NA
39	2	10	NA	NA	NA	NA	4	NA	NA
61	2	33	NA	NA	NA	NA	3	NA	NA
65	2	11	NA	NA	NA	NA	4	NA	NA
41	2	12	NA	NA	NA	NA	4	NA	NA
42	2	13	NA	NA	NA	NA	4	NA	NA
43	2	14	NA	NA	NA	NA	3	NA	NA
44	2	15	NA	NA	NA	NA	3	NA	NA
45	2	16	NA	NA	NA	NA	3	NA	NA
46	2	17	NA	NA	NA	NA	3	NA	NA
47	2	18	NA	NA	NA	NA	3	NA	NA
48	2	19	NA	NA	NA	NA	3	NA	NA
49	2	20	NA	NA	NA	NA	4	NA	NA
50	2	21	NA	NA	NA	NA	4	NA	NA
51	2	22	NA	NA	NA	NA	4	NA	NA
52	2	23	NA	NA	NA	NA	4	NA	NA
53	2	24	NA	NA	NA	NA	4	NA	NA
54	2	25	NA	NA	NA	NA	4	NA	NA
55	2	26	NA	NA	NA	NA	4	NA	NA
56	2	27	NA	NA	NA	NA	4	NA	NA
57	2	28	NA	NA	NA	NA	4	NA	NA
58	2	29	NA	NA	NA	NA	4	NA	NA
59	2	30	NA	NA	NA	NA	4	NA	NA
60	2	31	NA	NA	NA	NA	4	NA	NA
